"_id","name","description","isActive","createdAt","updatedAt"
"686d0d7d778acc58956108ba","Electronics1","Updated category for electronics",true,"2025-07-08T12:22:21.689Z","2025-07-11T06:36:34.556Z"
"686d0d7d778acc58956108bc","Fashion & Lifestyle","Clothing, accessories, and more",true,"2025-07-08T12:22:21.690Z","2025-07-11T06:42:08.721Z"
"6870ba46b80e837703888c65","Fashion","Clothing and accessories",true,"2025-07-11T07:16:22.198Z","2025-07-11T07:16:22.198Z"
"6870ba46b80e837703888c66","Electronics","Smartphones, laptops and gadgets",true,"2025-07-11T07:16:22.199Z","2025-07-11T07:16:22.199Z"
"6870ba46b80e837703888c67","Books","Fiction and non-fiction books",true,"2025-07-11T07:16:22.199Z","2025-07-11T07:16:22.199Z"
"6870ba46b80e837703888c68","Home Appliances","Kitchen and home essentials",true,"2025-07-11T07:16:22.199Z","2025-07-11T07:16:22.199Z"
"6870ba46b80e837703888c69","Sports","Outdoor and indoor sports items",true,"2025-07-11T07:16:22.199Z","2025-07-11T07:16:22.199Z"
"6870ba46b80e837703888c6a","Toys","Kids toys and games",true,"2025-07-11T07:16:22.200Z","2025-07-11T07:16:22.200Z"
"6870ba46b80e837703888c6b","Health & Beauty","Healthcare and beauty products",true,"2025-07-11T07:16:22.200Z","2025-07-11T07:16:22.200Z"
"6870ba46b80e837703888c6c","Automotive","Car and bike accessories",true,"2025-07-11T07:16:22.200Z","2025-07-11T07:16:22.200Z"
"6870ba46b80e837703888c6d","Groceries","Daily essentials and food items",true,"2025-07-11T07:16:22.200Z","2025-07-11T07:16:22.200Z"
"6870ba46b80e837703888c6e","Furniture","Home and office furniture",true,"2025-07-11T07:16:22.200Z","2025-07-11T07:16:22.200Z"
