"title","slug","description","price","category","brand","quantity","sold","tags"
"Dell Laptop","dell-laptop","<p>Dell Laptop</p>",4500,"Laptop","Dell",1000,0,"popular"
"Mac laptop","mac-laptop","<p>Mac laptop</p>",100000,"Laptop","Mac",100,0,"featured"
"Mac Desktop","mac-desktop","<p>Mac laptop</p>",100000,"Desktop","Mac",100,0,"featured"
"Tet","tet","<p>Mac laptopMac laptopMac laptopMac laptop</p>",34076,"Desktop","Mac",100,0,"special"
"svsdfvsrf","svsdfvsrf","<p>rfwrfrwf</p>",67875,"Desktop","Mac",3997,0,"featured"
"Nike Air Max1","nike-air-max1","High-quality running shoes",6999,"Shoes","Nike",50,0,"Running,Sports"
"iphone 14","iphone-14","latest apple phone",79999,"mobiles","apple",50,0,"smartphone"
"samsung S22","samsung-s22","flagship samsung phone",69999,"mobiles","samsung",40,2,"android"
"Nike Air Max4","nike-air-max4","High-quality running shoes",6999,"Shoes","Nike",50,0,"Running,Sports"
"btwin bottle","btwin-bottle","good bottle",4412,"Home","nike",34,20,""
"oppo reno pro 5g","oppo-reno-pro-5g","A good smart phone",28999,"Sports","oppo",20,15,"Smart phones"
